"","page","pathlength","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","1",112064,"",""
"1798","How to Protect Yourself | Zika virus | CDC","8",940,"",""
"1799","How to Protect Yourself | Zika virus | CDC","9",833,"",""
"1800","How to Protect Yourself | Zika virus | CDC","10",738,"",""
"1801","How to Protect Yourself | Zika virus | CDC","11",651,"",""
"1802","How to Protect Yourself | Zika virus | CDC","12",477,"",""
"1803","How to Protect Yourself | Zika virus | CDC","13",429,"",""
"1804","How to Protect Yourself | Zika virus | CDC","15",329,"",""
"1805","How to Protect Yourself | Zika virus | CDC","14",299,"",""
"1806","How to Protect Yourself | Zika virus | CDC","16",269,"",""
"1807","How to Protect Yourself | Zika virus | CDC","17",218,"",""
"1808","How to Protect Yourself | Zika virus | CDC","19",195,"",""
"1809","How to Protect Yourself | Zika virus | CDC","18",193,"",""
"1810","How to Protect Yourself | Zika virus | CDC","20",133,"",""
"1811","How to Protect Yourself | Zika virus | CDC","21",111,"",""
"1812","How to Protect Yourself | Zika virus | CDC","23",103,"",""
"1813","How to Protect Yourself | Zika virus | CDC","24",98,"",""
"1814","How to Protect Yourself | Zika virus | CDC","22",85,"",""
"1815","How to Protect Yourself | Zika virus | CDC","25",79,"",""
"1816","How to Protect Yourself | Zika virus | CDC","26",60,"",""
"1817","How to Protect Yourself | Zika virus | CDC","27",48,"",""
"1818","How to Protect Yourself | Zika virus | CDC","29",38,"",""
"1819","How to Protect Yourself | Zika virus | CDC","28",36,"",""
"1820","How to Protect Yourself | Zika virus | CDC","33",27,"",""
"1821","How to Protect Yourself | Zika virus | CDC","32",26,"",""
"1822","How to Protect Yourself | Zika virus | CDC","31",24,"",""
"1823","How to Protect Yourself | Zika virus | CDC","30",23,"",""
"1824","How to Protect Yourself | Zika virus | CDC","36",22,"",""
"1825","How to Protect Yourself | Zika virus | CDC","49",18,"",""
"1826","How to Protect Yourself | Zika virus | CDC","39",18,"",""
"1827","How to Protect Yourself | Zika virus | CDC","38",15,"",""
"1828","How to Protect Yourself | Zika virus | CDC","37",15,"",""
"1829","How to Protect Yourself | Zika virus | CDC","59",14,"",""
"1830","How to Protect Yourself | Zika virus | CDC","42",11,"",""
"1831","How to Protect Yourself | Zika virus | CDC","35",11,"",""
"1832","How to Protect Yourself | Zika virus | CDC","50",9,"",""
"1833","How to Protect Yourself | Zika virus | CDC","43",9,"",""
"1834","How to Protect Yourself | Zika virus | CDC","46",8,"",""
"1835","How to Protect Yourself | Zika virus | CDC","66",7,"",""
"1836","How to Protect Yourself | Zika virus | CDC","44",6,"",""
"1837","How to Protect Yourself | Zika virus | CDC","34",6,"",""
"1838","How to Protect Yourself | Zika virus | CDC","114",5,"",""
"1839","How to Protect Yourself | Zika virus | CDC","60",5,"",""
"1840","How to Protect Yourself | Zika virus | CDC","56",5,"",""
"1841","How to Protect Yourself | Zika virus | CDC","55",5,"",""
"1842","How to Protect Yourself | Zika virus | CDC","48",5,"",""
"1843","How to Protect Yourself | Zika virus | CDC","47",5,"",""
"1844","How to Protect Yourself | Zika virus | CDC","86",4,"",""
"1845","How to Protect Yourself | Zika virus | CDC","53",4,"",""
"1846","How to Protect Yourself | Zika virus | CDC","45",4,"",""
"1847","How to Protect Yourself | Zika virus | CDC","41",4,"",""
"1848","How to Protect Yourself | Zika virus | CDC","40",4,"",""
"1849","How to Protect Yourself | Zika virus | CDC","289",3,"",""
"1850","How to Protect Yourself | Zika virus | CDC","93",3,"",""
"1851","How to Protect Yourself | Zika virus | CDC","52",3,"",""
"1852","How to Protect Yourself | Zika virus | CDC","1434",2,"",""
"1853","How to Protect Yourself | Zika virus | CDC","71",2,"",""
"1854","How to Protect Yourself | Zika virus | CDC","64",2,"",""
"1855","How to Protect Yourself | Zika virus | CDC","54",2,"",""
"1856","How to Protect Yourself | Zika virus | CDC","158",1,"",""
"1857","How to Protect Yourself | Zika virus | CDC","123",1,"",""
"1858","How to Protect Yourself | Zika virus | CDC","107",1,"",""
"1859","How to Protect Yourself | Zika virus | CDC","105",1,"",""
"1860","How to Protect Yourself | Zika virus | CDC","99",1,"",""
"1861","How to Protect Yourself | Zika virus | CDC","90",1,"",""
"1862","How to Protect Yourself | Zika virus | CDC","89",1,"",""
"1863","How to Protect Yourself | Zika virus | CDC","84",1,"",""
"1864","How to Protect Yourself | Zika virus | CDC","76",1,"",""
"1865","How to Protect Yourself | Zika virus | CDC","75",1,"",""
"1866","How to Protect Yourself | Zika virus | CDC","72",1,"",""
"1867","How to Protect Yourself | Zika virus | CDC","70",1,"",""
"1868","How to Protect Yourself | Zika virus | CDC","69",1,"",""
"1869","How to Protect Yourself | Zika virus | CDC","67",1,"",""
"1870","How to Protect Yourself | Zika virus | CDC","65",1,"",""
"1871","How to Protect Yourself | Zika virus | CDC","63",1,"",""
"1872","How to Protect Yourself | Zika virus | CDC","62",1,"",""
"1873","How to Protect Yourself | Zika virus | CDC","61",1,"",""
"1874","How to Protect Yourself | Zika virus | CDC","57",1,"",""
"1875","How to Protect Yourself | Zika virus | CDC","51",1,"",""
"1876","Health Effects & Risks | Zika virus | CDC","1",7561,"",""
"1877","Health Effects & Risks | Zika virus | CDC","2",1864,"",""
"1878","Health Effects & Risks | Zika virus | CDC","3",1411,"",""
"1879","Health Effects & Risks | Zika virus | CDC","5",1299,"",""
"1880","Health Effects & Risks | Zika virus | CDC","7",1146,"",""
"1881","Health Effects & Risks | Zika virus | CDC","6",1139,"",""
"1882","Health Effects & Risks | Zika virus | CDC","4",1107,"",""
"1883","Health Effects & Risks | Zika virus | CDC","8",901,"",""
"1884","Health Effects & Risks | Zika virus | CDC","9",842,"",""
"1885","Health Effects & Risks | Zika virus | CDC","11",702,"",""
"1886","Health Effects & Risks | Zika virus | CDC","10",669,"",""
"1887","Health Effects & Risks | Zika virus | CDC","13",521,"",""
"1888","Health Effects & Risks | Zika virus | CDC","12",506,"",""
"1889","Health Effects & Risks | Zika virus | CDC","14",439,"",""
"1890","Health Effects & Risks | Zika virus | CDC","15",368,"",""
"1891","Health Effects & Risks | Zika virus | CDC","17",313,"",""
"1892","Health Effects & Risks | Zika virus | CDC","16",243,"",""
"1893","Health Effects & Risks | Zika virus | CDC","19",229,"",""
"1894","Health Effects & Risks | Zika virus | CDC","18",227,"",""
"1895","Health Effects & Risks | Zika virus | CDC","21",199,"",""
"1896","Health Effects & Risks | Zika virus | CDC","22",163,"",""
"1897","Health Effects & Risks | Zika virus | CDC","23",157,"",""
"1898","Health Effects & Risks | Zika virus | CDC","20",149,"",""
"1899","Health Effects & Risks | Zika virus | CDC","25",99,"",""
"1900","Health Effects & Risks | Zika virus | CDC","26",95,"",""
"1901","Health Effects & Risks | Zika virus | CDC","24",91,"",""
"1902","Health Effects & Risks | Zika virus | CDC","29",74,"",""
"1903","Health Effects & Risks | Zika virus | CDC","27",71,"",""
"1904","Health Effects & Risks | Zika virus | CDC","28",68,"",""
"1905","Health Effects & Risks | Zika virus | CDC","32",58,"",""
"1906","Health Effects & Risks | Zika virus | CDC","30",57,"",""
"1907","Health Effects & Risks | Zika virus | CDC","31",44,"",""
"1908","Health Effects & Risks | Zika virus | CDC","35",40,"",""
"1909","Health Effects & Risks | Zika virus | CDC","38",37,"",""
"1910","Health Effects & Risks | Zika virus | CDC","41",32,"",""
"1911","Health Effects & Risks | Zika virus | CDC","33",27,"",""
"1912","Health Effects & Risks | Zika virus | CDC","34",26,"",""
"1913","Health Effects & Risks | Zika virus | CDC","45",25,"",""
"1914","Health Effects & Risks | Zika virus | CDC","40",22,"",""
"1915","Health Effects & Risks | Zika virus | CDC","36",21,"",""
"1916","Health Effects & Risks | Zika virus | CDC","48",20,"",""
"1917","Health Effects & Risks | Zika virus | CDC","61",19,"",""
"1918","Health Effects & Risks | Zika virus | CDC","42",19,"",""
"1919","Health Effects & Risks | Zika virus | CDC","39",19,"",""
"1920","Health Effects & Risks | Zika virus | CDC","37",17,"",""
"1921","Health Effects & Risks | Zika virus | CDC","56",15,"",""
"1922","Health Effects & Risks | Zika virus | CDC","49",15,"",""
"1923","Health Effects & Risks | Zika virus | CDC","47",15,"",""
"1924","Health Effects & Risks | Zika virus | CDC","44",15,"",""
"1925","Health Effects & Risks | Zika virus | CDC","50",14,"",""
"1926","Health Effects & Risks | Zika virus | CDC","46",14,"",""
"1927","Health Effects & Risks | Zika virus | CDC","83",12,"",""
"1928","Health Effects & Risks | Zika virus | CDC","51",10,"",""
"1929","Health Effects & Risks | Zika virus | CDC","43",10,"",""
"1930","Health Effects & Risks | Zika virus | CDC","59",9,"",""
"1931","Health Effects & Risks | Zika virus | CDC","52",9,"",""
"1932","Health Effects & Risks | Zika virus | CDC","134",8,"",""
"1933","Health Effects & Risks | Zika virus | CDC","93",8,"",""
"1934","Health Effects & Risks | Zika virus | CDC","69",8,"",""
"1935","Health Effects & Risks | Zika virus | CDC","131",7,"",""
"1936","Health Effects & Risks | Zika virus | CDC","108",6,"",""
"1937","Health Effects & Risks | Zika virus | CDC","57",6,"",""
"1938","Health Effects & Risks | Zika virus | CDC","54",6,"",""
"1939","Health Effects & Risks | Zika virus | CDC","102",4,"",""
"1940","Health Effects & Risks | Zika virus | CDC","86",4,"",""
"1941","Health Effects & Risks | Zika virus | CDC","78",4,"",""
"1942","Health Effects & Risks | Zika virus | CDC","63",4,"",""
"1943","Health Effects & Risks | Zika virus | CDC","60",4,"",""
"1944","Health Effects & Risks | Zika virus | CDC","58",4,"",""
"1945","Health Effects & Risks | Zika virus | CDC","53",4,"",""
"1946","Health Effects & Risks | Zika virus | CDC","89",3,"",""
"1947","Health Effects & Risks | Zika virus | CDC","77",3,"",""
"1948","Health Effects & Risks | Zika virus | CDC","71",3,"",""
"1949","Health Effects & Risks | Zika virus | CDC","1434",2,"",""
"1950","Health Effects & Risks | Zika virus | CDC","203",2,"",""
"1951","Health Effects & Risks | Zika virus | CDC","116",2,"",""
"1952","Health Effects & Risks | Zika virus | CDC","104",2,"",""
"1953","Health Effects & Risks | Zika virus | CDC","95",2,"",""
"1954","Health Effects & Risks | Zika virus | CDC","94",2,"",""
"1955","Health Effects & Risks | Zika virus | CDC","92",2,"",""
"1956","Health Effects & Risks | Zika virus | CDC","82",2,"",""
"1957","Health Effects & Risks | Zika virus | CDC","81",2,"",""
"1958","Health Effects & Risks | Zika virus | CDC","80",2,"",""
"1959","Health Effects & Risks | Zika virus | CDC","72",2,"",""
"1960","Health Effects & Risks | Zika virus | CDC","64",2,"",""
"1961","Health Effects & Risks | Zika virus | CDC","62",2,"",""
"1962","Health Effects & Risks | Zika virus | CDC","55",2,"",""
"1963","Health Effects & Risks | Zika virus | CDC","204",1,"",""
"1964","Health Effects & Risks | Zika virus | CDC","129",1,"",""
"1965","Health Effects & Risks | Zika virus | CDC","106",1,"",""
"1966","Health Effects & Risks | Zika virus | CDC","103",1,"",""
"1967","Health Effects & Risks | Zika virus | CDC","96",1,"",""
"1968","Health Effects & Risks | Zika virus | CDC","87",1,"",""
"1969","Health Effects & Risks | Zika virus | CDC","76",1,"",""
"1970","Health Effects & Risks | Zika virus | CDC","70",1,"",""
"1971","Health Effects & Risks | Zika virus | CDC","66",1,"",""
"1972","Treatment | Zika virus | CDC","1",8939,"",""
"1973","Treatment | Zika virus | CDC","2",2143,"",""
"1974","Treatment | Zika virus | CDC","3",1717,"",""
"1975","Treatment | Zika virus | CDC","4",1304,"",""
"1976","Treatment | Zika virus | CDC","5",1175,"",""
"1977","Treatment | Zika virus | CDC","7",1015,"",""
"1978","Treatment | Zika virus | CDC","6",943,"",""
"1979","Treatment | Zika virus | CDC","9",713,"",""
"1980","Treatment | Zika virus | CDC","8",698,"",""
"1981","Treatment | Zika virus | CDC","10",517,"",""
"1982","Treatment | Zika virus | CDC","11",514,"",""
"1983","Treatment | Zika virus | CDC","12",411,"",""
"1984","Treatment | Zika virus | CDC","13",344,"",""
"1985","Treatment | Zika virus | CDC","14",313,"",""
"1986","Treatment | Zika virus | CDC","15",260,"",""
"1987","Treatment | Zika virus | CDC","17",216,"",""
"1988","Treatment | Zika virus | CDC","16",215,"",""
"1989","Treatment | Zika virus | CDC","19",158,"",""
"1990","Treatment | Zika virus | CDC","18",157,"",""
"1991","Treatment | Zika virus | CDC","21",138,"",""
"1992","Treatment | Zika virus | CDC","20",128,"",""
"1993","Treatment | Zika virus | CDC","22",107,"",""
"1994","Treatment | Zika virus | CDC","24",91,"",""
"1995","Treatment | Zika virus | CDC","23",82,"",""
"1996","Treatment | Zika virus | CDC","25",66,"",""
"1997","Treatment | Zika virus | CDC","26",62,"",""
"1998","Treatment | Zika virus | CDC","27",55,"",""
"1999","Treatment | Zika virus | CDC","29",46,"",""
"2000","Treatment | Zika virus | CDC","30",43,"",""
"2001","Treatment | Zika virus | CDC","28",43,"",""
"2002","Treatment | Zika virus | CDC","31",40,"",""
"2003","Treatment | Zika virus | CDC","32",31,"",""
"2004","Treatment | Zika virus | CDC","36",24,"",""
"2005","Treatment | Zika virus | CDC","38",22,"",""
"2006","Treatment | Zika virus | CDC","37",21,"",""
"2007","Treatment | Zika virus | CDC","35",21,"",""
"2008","Treatment | Zika virus | CDC","34",21,"",""
"2009","Treatment | Zika virus | CDC","41",20,"",""
"2010","Treatment | Zika virus | CDC","45",18,"",""
"2011","Treatment | Zika virus | CDC","40",18,"",""
"2012","Treatment | Zika virus | CDC","33",18,"",""
"2013","Treatment | Zika virus | CDC","42",17,"",""
"2014","Treatment | Zika virus | CDC","56",16,"",""
"2015","Treatment | Zika virus | CDC","50",16,"",""
"2016","Treatment | Zika virus | CDC","57",14,"",""
"2017","Treatment | Zika virus | CDC","59",13,"",""
"2018","Treatment | Zika virus | CDC","51",13,"",""
"2019","Treatment | Zika virus | CDC","43",13,"",""
"2020","Treatment | Zika virus | CDC","48",12,"",""
"2021","Treatment | Zika virus | CDC","44",11,"",""
"2022","Treatment | Zika virus | CDC","39",11,"",""
"2023","Treatment | Zika virus | CDC","55",10,"",""
"2024","Treatment | Zika virus | CDC","53",10,"",""
"2025","Treatment | Zika virus | CDC","93",7,"",""
"2026","Treatment | Zika virus | CDC","61",7,"",""
"2027","Treatment | Zika virus | CDC","47",7,"",""
"2028","Treatment | Zika virus | CDC","46",5,"",""
"2029","Treatment | Zika virus | CDC","104",4,"",""
"2030","Treatment | Zika virus | CDC","84",4,"",""
"2031","Treatment | Zika virus | CDC","60",4,"",""
"2032","Treatment | Zika virus | CDC","134",3,"",""
"2033","Treatment | Zika virus | CDC","79",3,"",""
"2034","Treatment | Zika virus | CDC","78",3,"",""
"2035","Treatment | Zika virus | CDC","75",3,"",""
"2036","Treatment | Zika virus | CDC","66",3,"",""
"2037","Treatment | Zika virus | CDC","49",3,"",""
"2038","Treatment | Zika virus | CDC","153",2,"",""
"2039","Treatment | Zika virus | CDC","106",2,"",""
"2040","Treatment | Zika virus | CDC","103",2,"",""
"2041","Treatment | Zika virus | CDC","102",2,"",""
"2042","Treatment | Zika virus | CDC","92",2,"",""
"2043","Treatment | Zika virus | CDC","86",2,"",""
"2044","Treatment | Zika virus | CDC","82",2,"",""
"2045","Treatment | Zika virus | CDC","81",2,"",""
"2046","Treatment | Zika virus | CDC","71",2,"",""
"2047","Treatment | Zika virus | CDC","69",2,"",""
"2048","Treatment | Zika virus | CDC","63",2,"",""
"2049","Treatment | Zika virus | CDC","58",2,"",""
"2050","Treatment | Zika virus | CDC","54",2,"",""
"2051","Treatment | Zika virus | CDC","52",2,"",""
"2052","Treatment | Zika virus | CDC","1434",1,"",""
"2053","Treatment | Zika virus | CDC","117",1,"",""
"2054","Treatment | Zika virus | CDC","115",1,"",""
"2055","Treatment | Zika virus | CDC","114",1,"",""
"2056","Treatment | Zika virus | CDC","101",1,"",""
"2057","Treatment | Zika virus | CDC","98",1,"",""
"2058","Treatment | Zika virus | CDC","97",1,"",""
"2059","Treatment | Zika virus | CDC","95",1,"",""
"2060","Treatment | Zika virus | CDC","94",1,"",""
"2061","Treatment | Zika virus | CDC","89",1,"",""
"2062","Treatment | Zika virus | CDC","88",1,"",""
"2063","Treatment | Zika virus | CDC","83",1,"",""
"2064","Treatment | Zika virus | CDC","77",1,"",""
"2065","Treatment | Zika virus | CDC","76",1,"",""
"2066","Treatment | Zika virus | CDC","70",1,"",""
"2067","Treatment | Zika virus | CDC","65",1,"",""
"2068","Treatment | Zika virus | CDC","64",1,"",""
"2069","Treatment | Zika virus | CDC","62",1,"",""
"2070","Prevent Mosquito Bites | Zika virus | CDC","1",8987,"",""
"2071","Prevent Mosquito Bites | Zika virus | CDC","2",1912,"",""
"2072","Prevent Mosquito Bites | Zika virus | CDC","3",1835,"",""
"2073","Prevent Mosquito Bites | Zika virus | CDC","4",1255,"",""
"2074","Prevent Mosquito Bites | Zika virus | CDC","5",1208,"",""
"2075","Prevent Mosquito Bites | Zika virus | CDC","6",890,"",""
"2076","Prevent Mosquito Bites | Zika virus | CDC","7",796,"",""
"2077","Prevent Mosquito Bites | Zika virus | CDC","8",633,"",""
"2078","Prevent Mosquito Bites | Zika virus | CDC","9",630,"",""
"2079","Prevent Mosquito Bites | Zika virus | CDC","11",518,"",""
"2080","Prevent Mosquito Bites | Zika virus | CDC","10",508,"",""
"2081","Prevent Mosquito Bites | Zika virus | CDC","12",387,"",""
"2082","Prevent Mosquito Bites | Zika virus | CDC","13",338,"",""
"2083","Prevent Mosquito Bites | Zika virus | CDC","14",281,"",""
"2084","Prevent Mosquito Bites | Zika virus | CDC","15",265,"",""
"2085","Prevent Mosquito Bites | Zika virus | CDC","17",194,"",""
"2086","Prevent Mosquito Bites | Zika virus | CDC","16",186,"",""
"2087","Prevent Mosquito Bites | Zika virus | CDC","19",140,"",""
"2088","Prevent Mosquito Bites | Zika virus | CDC","18",122,"",""
"2089","Prevent Mosquito Bites | Zika virus | CDC","21",109,"",""
"2090","Prevent Mosquito Bites | Zika virus | CDC","20",97,"",""
"2091","Prevent Mosquito Bites | Zika virus | CDC","22",89,"",""
"2092","Prevent Mosquito Bites | Zika virus | CDC","23",78,"",""
"2093","Prevent Mosquito Bites | Zika virus | CDC","27",66,"",""
"2094","Prevent Mosquito Bites | Zika virus | CDC","25",61,"",""
"2095","Prevent Mosquito Bites | Zika virus | CDC","29",49,"",""
"2096","Prevent Mosquito Bites | Zika virus | CDC","28",49,"",""
"2097","Prevent Mosquito Bites | Zika virus | CDC","26",46,"",""
"2098","Prevent Mosquito Bites | Zika virus | CDC","24",45,"",""
"2099","Prevent Mosquito Bites | Zika virus | CDC","31",29,"",""
"2100","Prevent Mosquito Bites | Zika virus | CDC","30",29,"",""
"2101","Prevent Mosquito Bites | Zika virus | CDC","32",23,"",""
"2102","Prevent Mosquito Bites | Zika virus | CDC","37",20,"",""
"2103","Prevent Mosquito Bites | Zika virus | CDC","35",20,"",""
"2104","Prevent Mosquito Bites | Zika virus | CDC","114",15,"",""
"2105","Prevent Mosquito Bites | Zika virus | CDC","46",15,"",""
"2106","Prevent Mosquito Bites | Zika virus | CDC","39",14,"",""
"2107","Prevent Mosquito Bites | Zika virus | CDC","38",13,"",""
"2108","Prevent Mosquito Bites | Zika virus | CDC","33",13,"",""
"2109","Prevent Mosquito Bites | Zika virus | CDC","49",12,"",""
"2110","Prevent Mosquito Bites | Zika virus | CDC","44",12,"",""
"2111","Prevent Mosquito Bites | Zika virus | CDC","36",12,"",""
"2112","Prevent Mosquito Bites | Zika virus | CDC","34",12,"",""
"2113","Prevent Mosquito Bites | Zika virus | CDC","100",11,"",""
"2114","Prevent Mosquito Bites | Zika virus | CDC","41",11,"",""
"2115","Prevent Mosquito Bites | Zika virus | CDC","42",10,"",""
"2116","Prevent Mosquito Bites | Zika virus | CDC","66",9,"",""
"2117","Prevent Mosquito Bites | Zika virus | CDC","53",9,"",""
"2118","Prevent Mosquito Bites | Zika virus | CDC","131",8,"",""
"2119","Prevent Mosquito Bites | Zika virus | CDC","51",7,"",""
"2120","Prevent Mosquito Bites | Zika virus | CDC","48",7,"",""
"2121","Prevent Mosquito Bites | Zika virus | CDC","83",6,"",""
"2122","Prevent Mosquito Bites | Zika virus | CDC","59",6,"",""
"2123","Prevent Mosquito Bites | Zika virus | CDC","57",6,"",""
"2124","Prevent Mosquito Bites | Zika virus | CDC","50",6,"",""
"2125","Prevent Mosquito Bites | Zika virus | CDC","45",6,"",""
"2126","Prevent Mosquito Bites | Zika virus | CDC","55",5,"",""
"2127","Prevent Mosquito Bites | Zika virus | CDC","47",5,"",""
"2128","Prevent Mosquito Bites | Zika virus | CDC","56",4,"",""
"2129","Prevent Mosquito Bites | Zika virus | CDC","43",3,"",""
"2130","Prevent Mosquito Bites | Zika virus | CDC","40",3,"",""
"2131","Prevent Mosquito Bites | Zika virus | CDC","89",2,"",""
"2132","Prevent Mosquito Bites | Zika virus | CDC","76",2,"",""
"2133","Prevent Mosquito Bites | Zika virus | CDC","75",2,"",""
"2134","Prevent Mosquito Bites | Zika virus | CDC","73",2,"",""
"2135","Prevent Mosquito Bites | Zika virus | CDC","71",2,"",""
"2136","Prevent Mosquito Bites | Zika virus | CDC","62",2,"",""
"2137","Prevent Mosquito Bites | Zika virus | CDC","61",2,"",""
"2138","Prevent Mosquito Bites | Zika virus | CDC","52",2,"",""
"2139","Prevent Mosquito Bites | Zika virus | CDC","1434",1,"",""
"2140","Prevent Mosquito Bites | Zika virus | CDC","234",1,"",""
"2141","Prevent Mosquito Bites | Zika virus | CDC","192",1,"",""
"2142","Prevent Mosquito Bites | Zika virus | CDC","149",1,"",""
"2143","Prevent Mosquito Bites | Zika virus | CDC","134",1,"",""
"2144","Prevent Mosquito Bites | Zika virus | CDC","104",1,"",""
"2145","Prevent Mosquito Bites | Zika virus | CDC","99",1,"",""
"2146","Prevent Mosquito Bites | Zika virus | CDC","80",1,"",""
"2147","Prevent Mosquito Bites | Zika virus | CDC","72",1,"",""
"2148","Prevent Mosquito Bites | Zika virus | CDC","70",1,"",""
"2149","Prevent Mosquito Bites | Zika virus | CDC","64",1,"",""
"2150","Prevent Mosquito Bites | Zika virus | CDC","63",1,"",""
"2151","Prevent Mosquito Bites | Zika virus | CDC","54",1,"",""
"2152","Questions About Zika | Zika virus | CDC","1",8091,"",""
"2153","Questions About Zika | Zika virus | CDC","2",1630,"",""
"2154","Questions About Zika | Zika virus | CDC","3",1225,"",""
"2155","Questions About Zika | Zika virus | CDC","5",1118,"",""
"2156","Questions About Zika | Zika virus | CDC","4",1052,"",""
"2157","Questions About Zika | Zika virus | CDC","7",827,"",""
"2158","Questions About Zika | Zika virus | CDC","6",789,"",""
"2159","Questions About Zika | Zika virus | CDC","8",621,"",""
"2160","Questions About Zika | Zika virus | CDC","9",603,"",""
"2161","Questions About Zika | Zika virus | CDC","10",421,"",""
"2162","Questions About Zika | Zika virus | CDC","11",417,"",""
"2163","Questions About Zika | Zika virus | CDC","12",329,"",""
"2164","Questions About Zika | Zika virus | CDC","13",288,"",""
"2165","Questions About Zika | Zika virus | CDC","14",255,"",""
"2166","Questions About Zika | Zika virus | CDC","15",219,"",""
"2167","Questions About Zika | Zika virus | CDC","16",204,"",""
"2168","Questions About Zika | Zika virus | CDC","17",156,"",""
"2169","Questions About Zika | Zika virus | CDC","18",120,"",""
"2170","Questions About Zika | Zika virus | CDC","19",119,"",""
"2171","Questions About Zika | Zika virus | CDC","20",115,"",""
"2172","Questions About Zika | Zika virus | CDC","21",95,"",""
"2173","Questions About Zika | Zika virus | CDC","22",70,"",""
"2174","Questions About Zika | Zika virus | CDC","25",69,"",""
"2175","Questions About Zika | Zika virus | CDC","23",69,"",""
"2176","Questions About Zika | Zika virus | CDC","28",57,"",""
"2177","Questions About Zika | Zika virus | CDC","24",52,"",""
"2178","Questions About Zika | Zika virus | CDC","26",47,"",""
"2179","Questions About Zika | Zika virus | CDC","27",35,"",""
"2180","Questions About Zika | Zika virus | CDC","34",34,"",""
"2181","Questions About Zika | Zika virus | CDC","29",30,"",""
"2182","Questions About Zika | Zika virus | CDC","37",29,"",""
"2183","Questions About Zika | Zika virus | CDC","36",24,"",""
"2184","Questions About Zika | Zika virus | CDC","31",24,"",""
"2185","Questions About Zika | Zika virus | CDC","30",24,"",""
"2186","Questions About Zika | Zika virus | CDC","35",22,"",""
"2187","Questions About Zika | Zika virus | CDC","44",15,"",""
"2188","Questions About Zika | Zika virus | CDC","45",14,"",""
"2189","Questions About Zika | Zika virus | CDC","32",13,"",""
"2190","Questions About Zika | Zika virus | CDC","33",12,"",""
"2191","Questions About Zika | Zika virus | CDC","56",10,"",""
"2192","Questions About Zika | Zika virus | CDC","42",10,"",""
"2193","Questions About Zika | Zika virus | CDC","39",10,"",""
"2194","Questions About Zika | Zika virus | CDC","47",9,"",""
"2195","Questions About Zika | Zika virus | CDC","43",9,"",""
"2196","Questions About Zika | Zika virus | CDC","41",8,"",""
"2197","Questions About Zika | Zika virus | CDC","38",8,"",""
"2198","Questions About Zika | Zika virus | CDC","61",7,"",""
"2199","Questions About Zika | Zika virus | CDC","50",7,"",""
"2200","Questions About Zika | Zika virus | CDC","40",7,"",""
"2201","Questions About Zika | Zika virus | CDC","48",6,"",""
"2202","Questions About Zika | Zika virus | CDC","59",5,"",""
"2203","Questions About Zika | Zika virus | CDC","55",5,"",""
"2204","Questions About Zika | Zika virus | CDC","53",5,"",""
"2205","Questions About Zika | Zika virus | CDC","58",4,"",""
"2206","Questions About Zika | Zika virus | CDC","134",3,"",""
"2207","Questions About Zika | Zika virus | CDC","97",3,"",""
"2208","Questions About Zika | Zika virus | CDC","76",3,"",""
"2209","Questions About Zika | Zika virus | CDC","69",3,"",""
"2210","Questions About Zika | Zika virus | CDC","57",3,"",""
"2211","Questions About Zika | Zika virus | CDC","54",3,"",""
"2212","Questions About Zika | Zika virus | CDC","52",3,"",""
"2213","Questions About Zika | Zika virus | CDC","51",3,"",""
"2214","Questions About Zika | Zika virus | CDC","49",3,"",""
"2215","Questions About Zika | Zika virus | CDC","46",3,"",""
"2216","Questions About Zika | Zika virus | CDC","131",2,"",""
"2217","Questions About Zika | Zika virus | CDC","117",2,"",""
"2218","Questions About Zika | Zika virus | CDC","108",2,"",""
"2219","Questions About Zika | Zika virus | CDC","98",2,"",""
"2220","Questions About Zika | Zika virus | CDC","92",2,"",""
"2221","Questions About Zika | Zika virus | CDC","89",2,"",""
"2222","Questions About Zika | Zika virus | CDC","86",2,"",""
"2223","Questions About Zika | Zika virus | CDC","80",2,"",""
"2224","Questions About Zika | Zika virus | CDC","77",2,"",""
"2225","Questions About Zika | Zika virus | CDC","68",2,"",""
"2226","Questions About Zika | Zika virus | CDC","1434",1,"",""
"2227","Questions About Zika | Zika virus | CDC","234",1,"",""
"2228","Questions About Zika | Zika virus | CDC","153",1,"",""
"2229","Questions About Zika | Zika virus | CDC","121",1,"",""
"2230","Questions About Zika | Zika virus | CDC","110",1,"",""
"2231","Questions About Zika | Zika virus | CDC","106",1,"",""
"2232","Questions About Zika | Zika virus | CDC","102",1,"",""
"2233","Questions About Zika | Zika virus | CDC","96",1,"",""
"2234","Questions About Zika | Zika virus | CDC","94",1,"",""
"2235","Questions About Zika | Zika virus | CDC","93",1,"",""
"2236","Questions About Zika | Zika virus | CDC","73",1,"",""
"2237","Questions About Zika | Zika virus | CDC","66",1,"",""
"2238","Questions About Zika | Zika virus | CDC","65",1,"",""
"2239","Questions About Zika | Zika virus | CDC","64",1,"",""
"2240","Questions About Zika | Zika virus | CDC","63",1,"",""
"2241","Zika and Sexual Transmission | Zika virus | CDC","1",9831,"",""
"2242","Zika and Sexual Transmission | Zika virus | CDC","2",2262,"",""
"2243","Zika and Sexual Transmission | Zika virus | CDC","3",1206,"",""
"2244","Zika and Sexual Transmission | Zika virus | CDC","4",784,"",""
