"","page","geostate","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","New York (United States)",39006,"",""
"3845","Zika Virus | CDC","Gyor (Hungary)",2,"",""
"3846","Zika Virus | CDC","L'vivs'ka Oblast' (Ukraine)",2,"",""
"3847","Zika Virus | CDC","Cocle (Panama)",2,"",""
"3848","Zika Virus | CDC","Ruse (Bulgaria)",2,"",""
"3849","Zika Virus | CDC","Yamagata (Japan)",2,"",""
"3850","Zika Virus | CDC","Tongatapu (Tonga)",2,"",""
"3851","Zika Virus | CDC","Yunnan (China)",2,"",""
"3852","Zika Virus | CDC","Antofagasta (Chile)",2,"",""
"3853","Zika Virus | CDC","Mwanza (Tanzania)",2,"",""
"3854","Zika Virus | CDC","Entre Rios (Argentina)",2,"",""
"3855","Zika Virus | CDC","Luhans'ka Oblast' (Ukraine)",2,"",""
"3856","Zika Virus | CDC","Saint Ann (Jamaica)",2,"",""
"3857","Zika Virus | CDC","Delta (Nigeria)",2,"",""
"3858","Zika Virus | CDC","Nizhegorodskaya Oblast (Russian Federation)",2,"",""
"3859","Zika Virus | CDC","Rize (Turkey)",2,"",""
"3860","Zika Virus | CDC","Botosani (Romania)",2,"",""
"3861","Zika Virus | CDC","Bolu (Turkey)",2,"",""
"3862","Zika Virus | CDC","Carrickfergus (United Kingdom)",2,"",""
"3863","Zika Virus | CDC","Blackburn With Darwen (United Kingdom)",2,"",""
"3864","Zika Virus | CDC","Thua Thien-Hue (Viet Nam)",2,"",""
"3865","Zika Virus | CDC","Santarem (Portugal)",2,"",""
"3866","Zika Virus | CDC","Derry (United Kingdom)",2,"",""
"3867","Zika Virus | CDC","Vorumaa (Estonia)",2,"",""
"3868","Zika Virus | CDC","Chiriqui (Panama)",2,"",""
"3869","Zika Virus | CDC","Vaduz (Liechtenstein)",2,"",""
"3870","Zika Virus | CDC","Chernihivs'ka Oblast' (Ukraine)",2,"",""
"3871","Zika Virus | CDC","Gilan (Iran (Islamic Republic of))",2,"",""
"3872","Zika Virus | CDC","Burgas (Bulgaria)",2,"",""
"3873","Zika Virus | CDC","Gyeongsangnam-DO (South Korea)",2,"",""
"3874","Zika Virus | CDC","Thanh Hoa (Viet Nam)",2,"",""
"3875","Zika Virus | CDC","Slovenske Konjice (Slovenia)",2,"",""
"3876","Zika Virus | CDC","Edirne (Turkey)",2,"",""
"3877","Zika Virus | CDC","Vayamba Palata (Sri Lanka)",2,"",""
"3878","Zika Virus | CDC","Antananarivo (Madagascar)",2,"",""
"3879","Zika Virus | CDC","Gyeongsangbug-DO (South Korea)",2,"",""
"3880","Zika Virus | CDC","Salford (United Kingdom)",2,"",""
"3881","Zika Virus | CDC","Tucuman (Argentina)",2,"",""
"3882","Zika Virus | CDC","Caldas (Colombia)",2,"",""
"3883","Zika Virus | CDC","Nitriansky Kraj (Slovakia (Slovak Republic))",2,"",""
"3884","Zika Virus | CDC","Jlzan (Saudi Arabia)",2,"",""
"3885","Zika Virus | CDC","Niigata (Japan)",2,"",""
"3886","Zika Virus | CDC","Batna (Algeria)",2,"",""
"3887","Zika Virus | CDC","Erongo (Namibia)",2,"",""
"3888","Zika Virus | CDC","Taranaki (New Zealand)",2,"",""
"3889","Zika Virus | CDC","Tekirdag (Turkey)",2,"",""
"3890","Zika Virus | CDC","Trieste (Italy)",2,"",""
"3891","Zika Virus | CDC","Fukui (Japan)",2,"",""
"3892","Zika Virus | CDC","Loei (Thailand)",2,"",""
"3893","Zika Virus | CDC","Dungannon and South Tyrone (United Kingdom)",2,"",""
"3894","Zika Virus | CDC","Gwangju Gwangyeog-SI (South Korea)",2,"",""
"3895","Zika Virus | CDC","Rondonia (Brazil)",2,"",""
"3896","Zika Virus | CDC","Azarbaijan-E Sharqi (Iran (Islamic Republic of))",2,"",""
"3897","Zika Virus | CDC","Kralovehradecky Kraj (Czech Republic)",2,"",""
"3898","Zika Virus | CDC","Imbabura (Ecuador)",2,"",""
"3899","Zika Virus | CDC","Marlborough (New Zealand)",2,"",""
"3900","Zika Virus | CDC","Redcar and Cleveland (United Kingdom)",2,"",""
"3901","Zika Virus | CDC","Birkirkara (Malta)",2,"",""
"3902","Zika Virus | CDC","Turnisce (Slovenia)",2,"",""
"3903","Zika Virus | CDC","Zeeland (Netherlands)",2,"",""
"3904","Zika Virus | CDC","Mindoro Occidental (Philippines)",2,"",""
"3905","Zika Virus | CDC","Ards (United Kingdom)",2,"",""
"3906","Zika Virus | CDC","Bacau (Romania)",2,"",""
"3907","Zika Virus | CDC","Bacs-Kiskun (Hungary)",2,"",""
"3908","Zika Virus | CDC","Tak (Thailand)",2,"",""
"3909","Zika Virus | CDC","Tuamasaga (Samoa)",2,"",""
"3910","Zika Virus | CDC","Vorarlberg (Austria)",2,"",""
"3911","Zika Virus | CDC","Hadarom (Israel)",2,"",""
"3912","Zika Virus | CDC","Al Fayyum (Egypt)",2,"",""
"3913","Zika Virus | CDC","Krasnodarskiy Kray (Russian Federation)",2,"",""
"3914","Zika Virus | CDC","Balikesir (Turkey)",2,"",""
"3915","Zika Virus | CDC","Neamt (Romania)",2,"",""
"3916","Zika Virus | CDC","Mpumalanga (South Africa)",2,"",""
"3917","Zika Virus | CDC","Plzensky Kraj (Czech Republic)",2,"",""
"3918","Zika Virus | CDC","Buzau (Romania)",2,"",""
"3919","Zika Virus | CDC","Dunaujvaros (Hungary)",2,"",""
"3920","Zika Virus | CDC","Inverclyde (United Kingdom)",2,"",""
"3921","Zika Virus | CDC","No Region (Montserrat)",1,"",""
"3922","Zika Virus | CDC","Bukidnon (Philippines)",1,"",""
"3923","Zika Virus | CDC","Floriana (Malta)",1,"",""
"3924","Zika Virus | CDC","Aragua (Venezuela)",1,"",""
"3925","Zika Virus | CDC","Newtownabbey (United Kingdom)",1,"",""
"3926","Zika Virus | CDC","Longford (Ireland)",1,"",""
"3927","Zika Virus | CDC","Sakha Respublika (Russian Federation)",1,"",""
"3928","Zika Virus | CDC","Iwate (Japan)",1,"",""
"3929","Zika Virus | CDC","Regiao Autonoma Dos Acores (Portugal)",1,"",""
"3930","Zika Virus | CDC","Guainia (Colombia)",1,"",""
"3931","Zika Virus | CDC","Delcevo (Macedonia)",1,"",""
"3932","Zika Virus | CDC","Plateau (Nigeria)",1,"",""
"3933","Zika Virus | CDC","Swieqi (Malta)",1,"",""
"3934","Zika Virus | CDC","Budva (Montenegro)",1,"",""
"3935","Zika Virus | CDC","Ekiti (Nigeria)",1,"",""
"3936","Zika Virus | CDC","San Jose De Ocoa (Dominican Republic)",1,"",""
"3937","Zika Virus | CDC","Valmiera (Latvia)",1,"",""
"3938","Zika Virus | CDC","Vojnik (Slovenia)",1,"",""
"3939","Zika Virus | CDC","San Miguel (El Salvador)",1,"",""
"3940","Zika Virus | CDC","Karnten (Austria)",1,"",""
"3941","Zika Virus | CDC","Ha Tinh (Viet Nam)",1,"",""
"3942","Zika Virus | CDC","Coleraine (United Kingdom)",1,"",""
"3943","Zika Virus | CDC","Borski Okrug (Serbia)",1,"",""
"3944","Zika Virus | CDC","Tokushima (Japan)",1,"",""
"3945","Zika Virus | CDC","Zejtun (Malta)",1,"",""
"3946","Zika Virus | CDC","Kerkyra (Greece)",1,"",""
"3947","Zika Virus | CDC","Haute-Normandie (France)",1,"",""
"3948","Zika Virus | CDC","Khulna (Bangladesh)",1,"",""
"3949","Zika Virus | CDC","Tulcea (Romania)",1,"",""
"3950","Zika Virus | CDC","Gorj (Romania)",1,"",""
"3951","Zika Virus | CDC","Vysocina (Czech Republic)",1,"",""
"3952","Zika Virus | CDC","Cordoba (Colombia)",1,"",""
"3953","Zika Virus | CDC","Al Ahmadi (Kuwait)",1,"",""
"3954","Zika Virus | CDC","Chisinau (Moldova)",1,"",""
"3955","Zika Virus | CDC","Sremski Okrug (Serbia)",1,"",""
"3956","Zika Virus | CDC","Shanxi (China)",1,"",""
"3957","Zika Virus | CDC","Jura (Switzerland)",1,"",""
"3958","Zika Virus | CDC","Castellon (Spain)",1,"",""
"3959","Zika Virus | CDC","Zakynthos (Greece)",1,"",""
"3960","Zika Virus | CDC","Tlaxcala (Mexico)",1,"",""
"3961","Zika Virus | CDC","Markazi (Iran (Islamic Republic of))",1,"",""
"3962","Zika Virus | CDC","Norte De Santander (Colombia)",1,"",""
"3963","Zika Virus | CDC","Azarbayjan-E-Gharbi (Iran (Islamic Republic of))",1,"",""
"3964","Zika Virus | CDC","Brasov (Romania)",1,"",""
"3965","Zika Virus | CDC","North Ayrshire (United Kingdom)",1,"",""
"3966","Zika Virus | CDC","Camarines Sur (Philippines)",1,"",""
"3967","Zika Virus | CDC","Loja (Ecuador)",1,"",""
"3968","Zika Virus | CDC","Lam Dong (Viet Nam)",1,"",""
"3969","Zika Virus | CDC","Fermanagh (United Kingdom)",1,"",""
"3970","Zika Virus | CDC","Agio Oros (Greece)",1,"",""
"3971","Zika Virus | CDC","Spanish Wells (Bahamas)",1,"",""
"3972","Zika Virus | CDC","Perlis (Malaysia)",1,"",""
"3973","Zika Virus | CDC","Romblon (Philippines)",1,"",""
"3974","Zika Virus | CDC","Rio Negro (Argentina)",1,"",""
"3975","Zika Virus | CDC","Islas De La Bahia (Honduras)",1,"",""
"3976","Zika Virus | CDC","Cauca (Colombia)",1,"",""
"3977","Zika Virus | CDC","Trenciansky Kraj (Slovakia (Slovak Republic))",1,"",""
"3978","Zika Virus | CDC","Albay (Philippines)",1,"",""
"3979","Zika Virus | CDC","North-East (Botswana)",1,"",""
"3980","Zika Virus | CDC","Pembrokeshire (United Kingdom)",1,"",""
"3981","Zika Virus | CDC","Miranda (Venezuela)",1,"",""
"3982","Zika Virus | CDC","Siracusa (Italy)",1,"",""
"3983","Zika Virus | CDC","Luxembourg (Belgium)",1,"",""
"3984","Zika Virus | CDC","Korinthia (Greece)",1,"",""
"3985","Zika Virus | CDC","Merida (Venezuela)",1,"",""
"3986","Zika Virus | CDC","Leon (Spain)",1,"",""
"3987","Zika Virus | CDC","North East Lincolnshire (United Kingdom)",1,"",""
"3988","Zika Virus | CDC","Benue (Nigeria)",1,"",""
"3989","Zika Virus | CDC","Ceredigion (United Kingdom)",1,"",""
"3990","Zika Virus | CDC","Zaporiz'ka Oblast' (Ukraine)",1,"",""
"3991","Zika Virus | CDC","Ouargla (Algeria)",1,"",""
"3992","Zika Virus | CDC","Imereti (Georgia)",1,"",""
"3993","Zika Virus | CDC","Littoral (Cameroon)",1,"",""
"3994","Zika Virus | CDC","La Rioja (Spain)",1,"",""
"3995","Zika Virus | CDC","Beja (Portugal)",1,"",""
"3996","Zika Virus | CDC","Koper/Capodistria (Slovenia)",1,"",""
"3997","Zika Virus | CDC","Siauliu (Lithuania)",1,"",""
"3998","Zika Virus | CDC","Lerida (Spain)",1,"",""
"3999","Zika Virus | CDC","Puntarenas (Costa Rica)",1,"",""
"4000","Zika Virus | CDC","Arica Y Parinacota (Chile)",1,"",""
"4001","Zika Virus | CDC","Kyivs'ka Oblast' (Ukraine)",1,"",""
"4002","Zika Virus | CDC","La Coruna (Spain)",1,"",""
"4003","Zika Virus | CDC","Domzale (Slovenia)",1,"",""
"4004","Zika Virus | CDC","Udon Thani (Thailand)",1,"",""
"4005","Zika Virus | CDC","Irbid (Jordan)",1,"",""
"4006","Zika Virus | CDC","Caserta (Italy)",1,"",""
"4007","Zika Virus | CDC","Lamphun (Thailand)",1,"",""
"4008","Zika Virus | CDC","Kranj (Slovenia)",1,"",""
"4009","Zika Virus | CDC","Banbridge (United Kingdom)",1,"",""
"4010","Zika Virus | CDC","Nidwalden (Switzerland)",1,"",""
"4011","Zika Virus | CDC","Lampung (Indonesia)",1,"",""
"4012","Zika Virus | CDC","Volgogradskaya Oblast (Russian Federation)",1,"",""
"4013","Zika Virus | CDC","Ishikawa (Japan)",1,"",""
"4014","Zika Virus | CDC","Karlovarsky Kraj (Czech Republic)",1,"",""
"4015","Zika Virus | CDC","Ancona (Italy)",1,"",""
"4016","Zika Virus | CDC","Bjelovarsko-Bilogorska (Croatia)",1,"",""
"4017","Zika Virus | CDC","Western Tobago (Trinidad and Tobago)",1,"",""
"4018","Zika Virus | CDC","Laghouat (Algeria)",1,"",""
"4019","Zika Virus | CDC","Western Samar (Philippines)",1,"",""
"4020","Zika Virus | CDC","Erzurum (Turkey)",1,"",""
"4021","Zika Virus | CDC","Jelgava (Latvia)",1,"",""
"4022","Zika Virus | CDC","Chon Buri (Thailand)",1,"",""
"4023","Zika Virus | CDC","Ranong (Thailand)",1,"",""
"4024","Zika Virus | CDC","Keryneia (Cyprus)",1,"",""
"4025","Zika Virus | CDC","La Romana (Dominican Republic)",1,"",""
"4026","Zika Virus | CDC","La Libertad (Peru)",1,"",""
"4027","Zika Virus | CDC","Rutland (United Kingdom)",1,"",""
"4028","Zika Virus | CDC","Jurmala (Latvia)",1,"",""
"4029","Zika Virus | CDC","Pleven (Bulgaria)",1,"",""
"4030","Zika Virus | CDC","Srednjebanatski Okrug (Serbia)",1,"",""
"4031","Zika Virus | CDC","Rostovskaya Oblast (Russian Federation)",1,"",""
"4032","Zika Virus | CDC","Blaenau Gwent (United Kingdom)",1,"",""
"4033","Zika Virus | CDC","Viana Do Castelo (Portugal)",1,"",""
"4034","Zika Virus | CDC","Cara'-Severin (Romania)",1,"",""
"4035","Zika Virus | CDC","Zakarpats'ka Oblast' (Ukraine)",1,"",""
"4036","Zika Virus | CDC","Boyaca (Colombia)",1,"",""
"4037","Zika Virus | CDC","Gifu (Japan)",1,"",""
"4038","Zika Virus | CDC","Avellino (Italy)",1,"",""
"4039","Zika Virus | CDC","Debrecen (Hungary)",1,"",""
"4040","Zika Virus | CDC","Nagykanizsa (Hungary)",1,"",""
"4041","Zika Virus | CDC","Neuquen (Argentina)",1,"",""
"4042","Zika Virus | CDC","Lampang (Thailand)",1,"",""
"4043","Zika Virus | CDC","Jujuy (Argentina)",1,"",""
"4044","Zika Virus | CDC","Salerno (Italy)",1,"",""
"4045","Zika Virus | CDC","Zonguldak (Turkey)",1,"",""
"4046","Zika Virus | CDC","Aqtobe Oblysy (Kazakhstan)",1,"",""
"4047","Zika Virus | CDC","Rovigo (Italy)",1,"",""
"4048","Zika Virus | CDC","Limon (Costa Rica)",1,"",""
"4049","Zika Virus | CDC","Nghe An (Viet Nam)",1,"",""
"4050","Zika Virus | CDC","Parma (Italy)",1,"",""
"4051","Zika Virus | CDC","Aland Islands (Aland Islands)",1,"",""
"4052","Zika Virus | CDC","Messinia (Greece)",1,"",""
"4053","Zika Virus | CDC","Samarskaya Oblast (Russian Federation)",1,"",""
"4054","Zika Virus | CDC","Skofja Loka (Slovenia)",1,"",""
"4055","Zika Virus | CDC","Limousin (France)",1,"",""
"4056","Zika Virus | CDC","Puducherry (India)",1,"",""
"4057","Zika Virus | CDC","Bulawayo (Zimbabwe)",1,"",""
"4058","Zika Virus | CDC","Icel (Turkey)",1,"",""
"4059","Zika Virus | CDC","South East (Singapore)",1,"",""
"4060","Zika Virus | CDC","Massa (Italy)",1,"",""
"4061","Zika Virus | CDC","Schwyz (Switzerland)",1,"",""
"4062","Zika Virus | CDC","Zadaraka (Croatia)",1,"",""
"4063","Zika Virus | CDC","Chubut (Argentina)",1,"",""
"4064","Zika Virus | CDC","Van (Turkey)",1,"",""
"4065","Zika Virus | CDC","Chieti (Italy)",1,"",""
"4066","Zika Virus | CDC","Mantova (Italy)",1,"",""
"4067","Zika Virus | CDC","Viba Valentia (Italy)",1,"",""
"4068","Zika Virus | CDC","Jogevamaa (Estonia)",1,"",""
"4069","Zika Virus | CDC","Jiangxi (China)",1,"",""
"4070","Zika Virus | CDC","Udine (Italy)",1,"",""
"4071","Zika Virus | CDC","Forli-Cesena (Italy)",1,"",""
"4072","Zika Virus | CDC","Lucca (Italy)",1,"",""
"4073","Zika Virus | CDC","Haskovo (Bulgaria)",1,"",""
"4074","Zika Virus | CDC","Santa Ana (El Salvador)",1,"",""
"4075","Zika Virus | CDC","Zurrieq (Malta)",1,"",""
"4076","Zika Virus | CDC","Uturumaeda Palata (Sri Lanka)",1,"",""
"4077","Zika Virus | CDC","Denbighshire (United Kingdom)",1,"",""
"4078","Zika Virus | CDC","Marijampoles (Lithuania)",1,"",""
"4079","Zika Virus | CDC","Retalhuleu (Guatemala)",1,"",""
"4080","Zika Virus | CDC","Klaipedos (Lithuania)",1,"",""
"4081","Zika Virus | CDC","Vologodskaya Oblast (Russian Federation)",1,"",""
"4082","Zika Virus | CDC","San Luis (Argentina)",1,"",""
"4083","Zika Virus | CDC","Atlantida (Honduras)",1,"",""
"4084","Zika Virus | CDC","Ogun (Nigeria)",1,"",""
"4085","Zika Virus | CDC","Pescara (Italy)",1,"",""
"4086","Zika Virus | CDC","Somali (Ethiopia)",1,"",""
"4087","Zika Virus | CDC","Cuneo (Italy)",1,"",""
"4088","Zika Virus | CDC","Podgorica (Montenegro)",1,"",""
"4089","Zika Virus | CDC","Monaco-Ville (Monaco)",1,"",""
"4090","Zika Virus | CDC","Xanthi (Greece)",1,"",""
"4091","Zika Virus | CDC","Xizang (China)",1,"",""
"4092","Zika Virus | CDC","Hartlepool (United Kingdom)",1,"",""
"4093","Zika Virus | CDC","Khanh Hoa (Viet Nam)",1,"",""
"4094","Zika Virus | CDC","Kocani (Macedonia)",1,"",""
"4095","Zika Virus | CDC","Fthiotis (Greece)",1,"",""
"4096","Zika Virus | CDC","Yazd (Iran (Islamic Republic of))",1,"",""
"4097","Zika Virus | CDC","Benshangul-Gumaz (Ethiopia)",1,"",""
"4098","Zika Virus | CDC","Poitou-Charentes (France)",1,"",""
"4099","Zika Virus | CDC","Kagoshima (Japan)",1,"",""
"4100","Zika Virus | CDC","Masbate (Philippines)",1,"",""
"4101","Zika Virus | CDC","Lara (Venezuela)",1,"",""
"4102","Zika Virus | CDC","Antrim (United Kingdom)",1,"",""
"4103","Zika Virus | CDC","Sucre (Colombia)",1,"",""
"4104","Zika Virus | CDC","Kalkara (Malta)",1,"",""
"4105","Zika Virus | CDC","Liban-Sud (Lebanon)",1,"",""
"4106","Zika Virus | CDC","Tarragona (Spain)",1,"",""
"4107","Zika Virus | CDC","Vladimirskaya Oblast (Russian Federation)",1,"",""
"4108","Zika Virus | CDC","Sylhet (Bangladesh)",1,"",""
"4109","Zika Virus | CDC","Imperia (Italy)",1,"",""
"4110","Zika Virus | CDC","Lao Cai (Viet Nam)",1,"",""
"4111","Zika Virus | CDC","Belait (Brunei Darussalam)",1,"",""
"4112","Zika Virus | CDC","Los Rios (Chile)",1,"",""
"4113","Zika Virus | CDC","Iasi (Romania)",1,"",""
"4114","Zika Virus | CDC","East Lothian (United Kingdom)",1,"",""
"4115","Zika Virus | CDC","Diego Martin (Trinidad and Tobago)",1,"",""
"4116","Zika Virus | CDC","Otjozondjupa (Namibia)",1,"",""
"4117","Zika Virus | CDC","Veles (Macedonia)",1,"",""
"4118","Zika Virus | CDC","Giresun (Turkey)",1,"",""
"4119","Zika Virus | CDC","La Libertad (El Salvador)",1,"",""
"4120","Zika Virus | CDC","Sassari (Italy)",1,"",""
"4121","Zika Virus | CDC","Lapland (Finland)",1,"",""
"4122","Zika Virus | CDC","Magdalena (Colombia)",1,"",""
"4123","Zika Virus | CDC","Kecskemet (Hungary)",1,"",""
"4124","Zika Virus | CDC","Rimini (Italy)",1,"",""
"4125","Zika Virus | CDC","Kalimantan Barat (Indonesia)",1,"",""
"4126","Zika Virus | CDC","Slovenj Gradec (Slovenia)",1,"",""
"4127","Zika Virus | CDC","Mosta (Malta)",1,"",""
"4128","Zika Virus | CDC","Ohrid (Macedonia)",1,"",""
"4129","Zika Virus | CDC","Konya (Turkey)",1,"",""
"4130","Zika Virus | CDC","Kerry (Ireland)",1,"",""
"4131","Zika Virus | CDC","Trang (Thailand)",1,"",""
"4132","Zika Virus | CDC","Souss-Massa-Draa (Morocco)",1,"",""
"4133","Zika Virus | CDC","Maule (Chile)",1,"",""
"4134","Zika Virus | CDC","Afyon (Turkey)",1,"",""
"4135","Zika Virus | CDC","Libertador Gen B O'higgins (Chile)",1,"",""
"4136","Zika Virus | CDC","Leningradskaya Oblast (Russian Federation)",1,"",""
"4137","Zika Virus | CDC","Loska Dolina (Slovenia)",1,"",""
"4138","Zika Virus | CDC","Ferrara (Italy)",1,"",""
"4139","Zika Virus | CDC","San Marino (San Marino)",1,"",""
"4140","Zika Virus | CDC","Naxxar (Malta)",1,"",""
"4141","Zika Virus | CDC","Radovljica (Slovenia)",1,"",""
"4142","Zika Virus | CDC","Littoral (Benin)",1,"",""
"4143","Zika Virus | CDC","Piran/Pirano (Slovenia)",1,"",""
"4144","Zika Virus | CDC","Granada (Nicaragua)",1,"",""
"4145","Zika Virus | CDC","Kymenlaakso (Finland)",1,"",""
"4146","Zika Virus | CDC","Kahraman Maras (Turkey)",1,"",""
"4147","Zika Virus | CDC","Namur (Belgium)",1,"",""
"4148","Zika Virus | CDC","Dire Dawa (Ethiopia)",1,"",""
"4149","Zika Virus | CDC","Selnica Ob Dravi (Slovenia)",1,"",""
"4150","Zika Virus | CDC","Asgabat (Turkmenistan)",1,"",""
"4151","Zika Virus | CDC","Vrancea (Romania)",1,"",""
"4152","Zika Virus | CDC","Dolj (Romania)",1,"",""
"4153","Zika Virus | CDC","Cremona (Italy)",1,"",""
"4154","Zika Virus | CDC","Taurages (Lithuania)",1,"",""
"4155","Zika Virus | CDC","Hawkes Bay (New Zealand)",1,"",""
"4156","Zika Virus | CDC","Msida (Malta)",1,"",""
"4157","Zika Virus | CDC","Siquijor (Philippines)",1,"",""
"4158","Zika Virus | CDC","Catanzaro (Italy)",1,"",""
"4159","Zika Virus | CDC","Savona (Italy)",1,"",""
"4160","Zika Virus | CDC","East Renfrewshire (United Kingdom)",1,"",""
"4161","Zika Virus | CDC","Donets'ka Oblast' (Ukraine)",1,"",""
"4162","Zika Virus | CDC","Tripura (India)",1,"",""
"4163","Zika Virus | CDC","Tolima (Colombia)",1,"",""
"4164","Zika Virus | CDC","Misiones (Argentina)",1,"",""
"4165","Zika Virus | CDC","Setif (Algeria)",1,"",""
"4166","Advice for people living in or traveling to South Florida | Zika virus | CDC","New York (United States)",23684,"",""
"4167","Advice for people living in or traveling to South Florida | Zika virus | CDC","Ontario (Canada)",12090,"",""
"4168","Advice for people living in or traveling to South Florida | Zika virus | CDC","Florida (United States)",10250,"",""
"4169","Advice for people living in or traveling to South Florida | Zika virus | CDC","New Jersey (United States)",7910,"",""
"4170","Advice for people living in or traveling to South Florida | Zika virus | CDC","Illinois (United States)",7520,"",""
"4171","Advice for people living in or traveling to South Florida | Zika virus | CDC","California (United States)",6104,"",""
"4172","Advice for people living in or traveling to South Florida | Zika virus | CDC","Massachusetts (United States)",5512,"",""
"4173","Advice for people living in or traveling to South Florida | Zika virus | CDC","Quebec (Canada)",5237,"",""
"4174","Advice for people living in or traveling to South Florida | Zika virus | CDC","Pennsylvania (United States)",4528,"",""
"4175","Advice for people living in or traveling to South Florida | Zika virus | CDC","Michigan (United States)",3845,"",""
"4176","Advice for people living in or traveling to South Florida | Zika virus | CDC","Ohio (United States)",3398,"",""
"4177","Advice for people living in or traveling to South Florida | Zika virus | CDC","Minnesota (United States)",3272,"",""
"4178","Advice for people living in or traveling to South Florida | Zika virus | CDC","Maryland (United States)",3201,"",""
"4179","Advice for people living in or traveling to South Florida | Zika virus | CDC","Texas (United States)",2985,"",""
"4180","Advice for people living in or traveling to South Florida | Zika virus | CDC","Virginia (United States)",2724,"",""
"4181","Advice for people living in or traveling to South Florida | Zika virus | CDC","Georgia (United States)",2257,"",""
"4182","Advice for people living in or traveling to South Florida | Zika virus | CDC","Connecticut (United States)",2122,"",""
"4183","Advice for people living in or traveling to South Florida | Zika virus | CDC","North Carolina (United States)",1917,"",""
"4184","Advice for people living in or traveling to South Florida | Zika virus | CDC","Wisconsin (United States)",1908,"",""
"4185","Advice for people living in or traveling to South Florida | Zika virus | CDC","Colorado (United States)",1493,"",""
"4186","Advice for people living in or traveling to South Florida | Zika virus | CDC","District of Columbia (United States)",1412,"",""
"4187","Advice for people living in or traveling to South Florida | Zika virus | CDC","Indiana (United States)",1398,"",""
"4188","Advice for people living in or traveling to South Florida | Zika virus | CDC","Missouri (United States)",1383,"",""
"4189","Advice for people living in or traveling to South Florida | Zika virus | CDC","Alberta (Canada)",1333,"",""
"4190","Advice for people living in or traveling to South Florida | Zika virus | CDC","Washington (United States)",1249,"",""
"4191","Advice for people living in or traveling to South Florida | Zika virus | CDC","British Columbia (Canada)",1058,"",""
"4192","Advice for people living in or traveling to South Florida | Zika virus | CDC","Arizona (United States)",881,"",""
"4193","Advice for people living in or traveling to South Florida | Zika virus | CDC","Tennessee (United States)",878,"",""
"4194","Advice for people living in or traveling to South Florida | Zika virus | CDC","Iowa (United States)",741,"",""
"4195","Advice for people living in or traveling to South Florida | Zika virus | CDC","Nova Scotia (Canada)",663,"",""
"4196","Advice for people living in or traveling to South Florida | Zika virus | CDC","Kentucky (United States)",553,"",""
"4197","Advice for people living in or traveling to South Florida | Zika virus | CDC","New Hampshire (United States)",539,"",""
"4198","Advice for people living in or traveling to South Florida | Zika virus | CDC","South Carolina (United States)",523,"",""
"4199","Advice for people living in or traveling to South Florida | Zika virus | CDC","Utah (United States)",486,"",""
"4200","Advice for people living in or traveling to South Florida | Zika virus | CDC","Nebraska (United States)",459,"",""
"4201","Advice for people living in or traveling to South Florida | Zika virus | CDC","Kansas (United States)",442,"",""
"4202","Advice for people living in or traveling to South Florida | Zika virus | CDC","London (United Kingdom)",438,"",""
"4203","Advice for people living in or traveling to South Florida | Zika virus | CDC","Rhode Island (United States)",438,"",""
"4204","Advice for people living in or traveling to South Florida | Zika virus | CDC","Manitoba (Canada)",437,"",""
"4205","Advice for people living in or traveling to South Florida | Zika virus | CDC","Oregon (United States)",422,"",""
"4206","Advice for people living in or traveling to South Florida | Zika virus | CDC","Maine (United States)",401,"",""
"4207","Advice for people living in or traveling to South Florida | Zika virus | CDC","Stockholms Lan (Sweden)",383,"",""
"4208","Advice for people living in or traveling to South Florida | Zika virus | CDC","New Brunswick (Canada)",361,"",""
"4209","Advice for people living in or traveling to South Florida | Zika virus | CDC","Delaware (United States)",346,"",""
"4210","Advice for people living in or traveling to South Florida | Zika virus | CDC","Saskatchewan (Canada)",327,"",""
"4211","Advice for people living in or traveling to South Florida | Zika virus | CDC","Alabama (United States)",324,"",""
"4212","Advice for people living in or traveling to South Florida | Zika virus | CDC","Newfoundland and Labrador (Canada)",284,"",""
"4213","Advice for people living in or traveling to South Florida | Zika virus | CDC","Louisiana (United States)",281,"",""
"4214","Advice for people living in or traveling to South Florida | Zika virus | CDC","Oklahoma (United States)",271,"",""
"4215","Advice for people living in or traveling to South Florida | Zika virus | CDC","Hovedstaden (Denmark)",263,"",""
"4216","Advice for people living in or traveling to South Florida | Zika virus | CDC","Vermont (United States)",242,"",""
"4217","Advice for people living in or traveling to South Florida | Zika virus | CDC","Zurich (Switzerland)",232,"",""
"4218","Advice for people living in or traveling to South Florida | Zika virus | CDC","Dublin (Ireland)",230,"",""
"4219","Advice for people living in or traveling to South Florida | Zika virus | CDC","Uusimaa (Finland)",224,"",""
"4220","Advice for people living in or traveling to South Florida | Zika virus | CDC","Nevada (United States)",217,"",""
"4221","Advice for people living in or traveling to South Florida | Zika virus | CDC","Ile-De-France (France)",213,"",""
"4222","Advice for people living in or traveling to South Florida | Zika virus | CDC","North Dakota (United States)",204,"",""
"4223","Advice for people living in or traveling to South Florida | Zika virus | CDC","Bayern (Germany)",182,"",""
"4224","Advice for people living in or traveling to South Florida | Zika virus | CDC","Arkansas (United States)",177,"",""
"4225","Advice for people living in or traveling to South Florida | Zika virus | CDC","Nordrhein-Westfalen (Germany)",175,"",""
