"","page","mobiledevicename","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","::unspecified::",189816,"",""
"7171","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","OnePlus One (E1005)",6,"",""
"7172","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S6 Edge Plus (SM-G928W8)",6,"",""
"7173","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sprint G5 (LS992)",6,"",""
"7174","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG V20 (H918)",6,"",""
"7175","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Grand Prime Duos (SM-G530AZ)",6,"",""
"7176","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Motorola Moto G 2nd Gen (XT1068)",6,"",""
"7177","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab E 9.6 (SM-T560)",6,"",""
"7178","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Ace 3 (GT-S7275R)",6,"",""
"7179","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Grand Prime (SM-S920L)",6,"",""
"7180","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Motorola Moto G4 Play (XT1609)",6,"",""
"7181","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Verizon Xperia Z3v (D6708)",6,"",""
"7182","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Nokia Asha 203",6,"",""
"7183","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG K10 (MS428)",6,"",""
"7184","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei Honor 8 (FRD-L04)",6,"",""
"7185","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Amazon Fire HD 6",6,"",""
"7186","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia Z1 (C6903)",5,"",""
"7187","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Motorola Moto E 2nd Gen 4G (XT1528)",5,"",""
"7188","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","AT&T V10 (H900)",5,"",""
"7189","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","AT&T Galaxy S5 Mini (SM-G800A)",5,"",""
"7190","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Motorola Moto X (XT1058)",5,"",""
"7191","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","HTC One A9",5,"",""
"7192","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","US Cellular G5 (US992)",5,"",""
"7193","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab Pro (SM-T320)",5,"",""
"7194","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S3 (GT-I9300T)",5,"",""
"7195","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","BlackBerry DTEK50 (STH100-1)",5,"",""
"7196","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Nokia Lumia 920 (RM-821)",5,"",""
"7197","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Amazon Fire HD 8 (2015)",5,"",""
"7198","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy A5 (SM-A500F)",5,"",""
"7199","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","US Cellular Galaxy J3 (SM-J320R4)",5,"",""
"7200","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab S 8.4 (SM-T700)",5,"",""
"7201","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia Tablet Z (SGP311)",5,"",""
"7202","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Acer Iconia One 10 (B3-A30)",5,"",""
"7203","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sprint G3 (LS990)",5,"",""
"7204","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG G Vista 2 (H740)",5,"",""
"7205","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Oppo A37f",5,"",""
"7206","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Cricket Galaxy Amp prime (SM-J320AZ)",5,"",""
"7207","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Amazon Kindle Fire",5,"",""
"7208","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S4 (SGH-M919V)",5,"",""
"7209","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Core Prime (SM-G361F)",5,"",""
"7210","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S3 (SCH-S968C)",5,"",""
"7211","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Amazon Kindle Fire HDX 8.9",5,"",""
"7212","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Core Prime (SM-G360F)",5,"",""
"7213","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia Z3 (D6616)",5,"",""
"7214","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Note Edge (SM-N915V)",5,"",""
"7215","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG G3 S (D722)",5,"",""
"7216","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Straight Talk Premier (L62VL)",5,"",""
"7217","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S5 (SM-G900R6)",5,"",""
"7218","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei Y6 (SCL-L04)",5,"",""
"7219","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony X Compact (F5321)",5,"",""
"7220","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sprint Galaxy Note 2 (SPH-L900)",5,"",""
"7221","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG G5 (H850)",5,"",""
"7222","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei Ascend G7 (G7-L01)",5,"",""
"7223","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S5 (SM-G900H)",5,"",""
"7224","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Asus ZenFone 2 Laser (ZE551KL (Z00TD))",5,"",""
"7225","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Motorola DROID Razr HD (XT926)",5,"",""
"7226","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Note Pro 12.2 Wi-Fi (SM-P900)",5,"",""
"7227","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S3 TD-LTE (SPH-L710T)",5,"",""
"7228","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S7 (SM-G930U)",5,"",""
"7229","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Nokia Lumia 735 (RM-1038)",5,"",""
"7230","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab 2 10.1 (GT-P5113)",4,"",""
"7231","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Note Edge (SM-N915T)",4,"",""
"7232","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S4 (GT-I9506)",4,"",""
"7233","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Asus ZenFone 2 (ZE551ML (Z00AD))",4,"",""
"7234","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG Optimus L9 (P769)",4,"",""
"7235","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG G Pad 8.3 (VK815)",4,"",""
"7236","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Straight Talk Glaxy S6 (SM-S906L)",4,"",""
"7237","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei P8 Standard Edition (GRA-L09)",4,"",""
"7238","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy J1 (2016) (SM-J120W)",4,"",""
"7239","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia Z3 Compact (D5833)",4,"",""
"7240","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG Optimus L90 (D415)",4,"",""
"7241","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S4 Mini Duos (GT-I9192)",4,"",""
"7242","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Asus Zenfone 4 (T00I)",4,"",""
"7243","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung GALAXY J7 (SM-J700T1)",4,"",""
"7244","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG G3 (D850)",4,"",""
"7245","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG Sunset (L33L)",4,"",""
"7246","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sprint Galaxy Tab 4 LTE (SM-T237P)",4,"",""
"7247","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy On5 LTE (SM-G550T)",4,"",""
"7248","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG G4 (US991)",4,"",""
"7249","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Nokia Lumia 930 (RM-1045)",4,"",""
"7250","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab A (SM-P550)",4,"",""
"7251","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy J1 (SM-J120A)",4,"",""
"7252","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","AT&T Galaxy S4 Active (SGH-I537)",4,"",""
"7253","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Vodafone Smart Platinum 7 (VFD 900)",4,"",""
"7254","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S5 (SM-G900T1)",4,"",""
"7255","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S7 Edge (SM-G935U)",4,"",""
"7256","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab Pro 10.1 (SM-T520)",4,"",""
"7257","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei Raven (H892L)",4,"",""
"7258","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Vodafone Smart Ultra 6",4,"",""
"7259","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Toshiba Thrive (AT100)",3,"",""
"7260","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sprint Moto E 2nd Gen (XT1526)",3,"",""
"7261","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG G2 (D800)",3,"",""
"7262","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Wiko Fever",3,"",""
"7263","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S4 Active (GT-I9295)",3,"",""
"7264","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","ZTE ZMax 2 (Z958)",3,"",""
"7265","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","HTC Desire 626 (D626x)",3,"",""
"7266","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG Stylus 2 (K540)",3,"",""
"7267","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","T-Mobile G Stylo (H631)",3,"",""
"7268","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S Duos (GT-S7562)",3,"",""
"7269","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy J7 Duo (SM-J700F)",3,"",""
"7270","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Alcatel One Touch Evolve 2 (4037T)",3,"",""
"7271","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Xiaomi Mi Max",3,"",""
"7272","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy J7 Metal Duos (SM-J710MN)",3,"",""
"7273","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab 3 Lite (SM-T113)",3,"",""
"7274","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab 3 10.1 LTE (GT-P5220)",3,"",""
"7275","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Alcatel One Touch Idol 3 (6045O)",3,"",""
"7276","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy A3 (SM-A300H)",3,"",""
"7277","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Cricket Galaxy S6 (SM-G920AZ)",3,"",""
"7278","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S6 Edge Plus (SM-G928I)",3,"",""
"7279","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","ZTE Speed (N9130)",3,"",""
"7280","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","EE Rook",3,"",""
"7281","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Tesco Hudl 2",3,"",""
"7282","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","AT&T G5 (H820)",3,"",""
"7283","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","T-Mobile Galaxy Tab A 8 (SM-T357T)",3,"",""
"7284","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S3 (SGH-T999)",3,"",""
"7285","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab 3 (SM-T210)",3,"",""
"7286","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Grand Prime (SM-G530T1)",3,"",""
"7287","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Dell Venue 8",3,"",""
"7288","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Verizon DROID RAZR (XT912)",3,"",""
"7289","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N920K)",3,"",""
"7290","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S3 Mini Value Edition (GT-I8200N)",3,"",""
"7291","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Blu Vivo 5R",3,"",""
"7292","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Verizon One (6500LVW)",3,"",""
"7293","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG G Pad 10.1 (VK700)",3,"",""
"7294","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","AT&T Trek HD (9020A)",3,"",""
"7295","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei Y5II (CUN-U29)",3,"",""
"7296","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei Honor 5X (KIW-L24)",3,"",""
"7297","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Motorola Moto X (XT1055)",3,"",""
"7298","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Fairphone Fairphone 2 (FP2)",3,"",""
"7299","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia XZ (F8331)",3,"",""
"7300","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei Ascend G7 (G7-L03)",3,"",""
"7301","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Vizio XR6P10",3,"",""
"7302","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab S2 (SM-T819)",3,"",""
"7303","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab 4 10.1 LTE (SM-T535)",3,"",""
"7304","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Microsoft Lumia 650 (RM-1152)",3,"",""
"7305","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S5 mini (SM-G800H)",3,"",""
"7306","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia C3 (D2533)",3,"",""
"7307","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Garda (SGH-T399)",3,"",""
"7308","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG K7 4G (K330)",3,"",""
"7309","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia Z (C6606)",3,"",""
"7310","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","OnePlus OnePlus Two (A2003)",3,"",""
"7311","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Lenovo S850",3,"",""
"7312","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Verizon Moto G (XT1028)",3,"",""
"7313","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG G Pad F 7.0 LTE (V495)",3,"",""
"7314","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia XA Ultra (F3113)",3,"",""
"7315","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Verizon DROID RAZR M (XT907)",3,"",""
"7316","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Amazon Fire Phone",3,"",""
"7317","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S4 Value Edition (GT-I9515)",3,"",""
"7318","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S6 Edge Plus (SM-G928F)",3,"",""
"7319","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","ZTE Blade V6",3,"",""
"7320","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei Ascend Y330 (Y330-U05)",3,"",""
"7321","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Nextbit Robin",3,"",""
"7322","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Grand 2 (SM-G7102)",3,"",""
"7323","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","US Cellular Galaxy S5 Mini (SM-G800R4)",3,"",""
"7324","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG G Pad 8.3 (V500)",3,"",""
"7325","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S5 Mini (SM-G800Y)",3,"",""
"7326","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Nokia Lumia 928 (RM-860)",3,"",""
"7327","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab 4 10.1 LTE (SM-T530)",3,"",""
"7328","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia T (LT30P)",2,"",""
"7329","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N9208)",2,"",""
"7330","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Barnes and Noble Nook HD+ (BNTV600)",2,"",""
"7331","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Nokia Lumia 830",2,"",""
"7332","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Note 2 (GT-N7100)",2,"",""
"7333","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sprint Samsung Galaxy Tab E (SM-T377P)",2,"",""
"7334","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy J3 (2016) (SM-J320V)",2,"",""
"7335","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG G Flex 2 (LS996)",2,"",""
"7336","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei Y5II (CUN-L01)",2,"",""
"7337","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG K10 (K425)",2,"",""
"7338","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG K7 (MS330)",2,"",""
"7339","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Ninss Tech BBA22",2,"",""
"7340","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Note 10.1 (GT-N8000)",2,"",""
"7341","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Tab S2 9.7 (SM-T815Y)",2,"",""
"7342","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S2 (SGH-T989)",2,"",""
"7343","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Motorola Moto X Play (XT1562)",2,"",""
"7344","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei Y6 (SCL-L01)",2,"",""
"7345","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia Z3 (D6653)",2,"",""
"7346","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy J2 (SM-J200Y)",2,"",""
"7347","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Alcatel OneTouch Fierce XL (Windows)",2,"",""
"7348","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG Optimus Vu II (F200K)",2,"",""
"7349","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Motorola Moto E (XT830C)",2,"",""
"7350","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Kyocera DuraForce (E6560)",2,"",""
"7351","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","HTC Desire 530 (2PST200)",2,"",""
"7352","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S3 LTE (SPH-L710)",2,"",""
"7353","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Core Prime (SM-G360G)",2,"",""
"7354","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Motorola Moto X 2nd Gen (XT1095)",2,"",""
"7355","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Kyocera DuraForce (E6560C)",2,"",""
"7356","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Ingo Monster High MHU001D",2,"",""
"7357","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy J1 Ace (SM-J110M)",2,"",""
"7358","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Vodafone Smart First 6 (VF695)",2,"",""
"7359","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Xiaomi Mi Note LTE",2,"",""
"7360","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG Leon (MS345)",2,"",""
"7361","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","T-Mobile G Pad X8.0 (V521)",2,"",""
"7362","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Micromax YU Yureka Plus (YU5510A)",2,"",""
"7363","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","KingPad K90",2,"",""
"7364","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Grand Prime (SM-G530R7)",2,"",""
"7365","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","LG Escape 3 (K373)",2,"",""
"7366","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","OnePlus OnePlus X (E1001)",2,"",""
"7367","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S7 (SM-G930K)",2,"",""
"7368","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei P8 Lite (ALE-L23)",2,"",""
"7369","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Microsoft Lumia 950 (RM-1118)",2,"",""
"7370","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy J1 (SM-J120F)",2,"",""
"7371","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Verizon G Pad 8.3 (VK810)",2,"",""
"7372","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Meizu Blue Charm Note 2 (M2 Note)",2,"",""
"7373","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Lenovo Yoga Tablet 2 (1050F)",2,"",""
"7374","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Note 4 (SM-N910U)",2,"",""
"7375","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Nokia Lumia 630 (RM-978)",2,"",""
"7376","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S3 (SCH-I535)",2,"",""
"7377","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Verizon Brigadier (E6782)",2,"",""
"7378","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Alcatel One Touch Fierce 2 (7040T)",2,"",""
"7379","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy K Zoom (SM-C115)",2,"",""
"7380","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Asus MeMO Pad 7 (ME176C (K013))",2,"",""
"7381","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Vodafone Smart 4 Turbo (895N)",2,"",""
"7382","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","ZTE Blade A475",2,"",""
"7383","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","bq Aquaris E5",2,"",""
"7384","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy J5 (SM-J500H)",2,"",""
"7385","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","AT&T Galaxy Alpha (SM-G850A)",2,"",""
"7386","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S4 Mini (GT-I9195I)",2,"",""
"7387","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy J3 (2016) (SM-J320W8)",2,"",""
"7388","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei Honor 6 (H60-L04)",2,"",""
"7389","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy S5 (SM-G900M)",2,"",""
"7390","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy A5 (SM-A500H)",2,"",""
"7391","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Sony Xperia Z5 Premium (E6853)",2,"",""
"7392","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Huawei Ascend Y635 (Y635-L03)",2,"",""
"7393","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Verizon Stylo 2 V (VS835)",2,"",""
"7394","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","Samsung Galaxy Grand (GT-I9082)",2,"",""
